instituicao,tipo_ies,estado,uf,biblioteca_digital
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,BV Pearson
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Dot.Lib Lectio
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Fórum
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Minha Biblioteca
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,PressReader
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,RT Online
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Target GEDWeb
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,UpToDate
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Jstor
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Privada,Rio Grande do Sul,RS,Springer
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,Minha Biblioteca
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,BV Pearson
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,Cengage
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,RT Online
Universidade Federal do Espírito Santo (UFES),Pública,Espírito Santo,ES,Target GEDWeb
Serviço Nacional de Aprendizagem Comercial de Minas Gerais (SENAC-MG),Privada,Minas Gerais,MG,Minha Biblioteca
Serviço Nacional de Aprendizagem Comercial de Minas Gerais (SENAC-MG),Privada,Minas Gerais,MG,BD Senac
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,Minha Biblioteca
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,EBSCO eBooks
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,EMIS
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,Comdinheiro
Fundação Dom Cabral (FDC),Privada,Minas Gerais,MG,PressReader
Centro Universitário de Várzea Grande (UNIVAG),Privada,Mato Grosso,MT,Minha Biblioteca
Fundação Educacional de Ituverava,Privada,São Paulo,SP,Minha Biblioteca
Fundação Educacional de Ituverava,Privada,São Paulo,SP,BV Pearson
Faculdade Frassinetti do Recife,Privada,Pernambuco,PE,BV Pearson
Faculdade Frassinetti do Recife,Privada,Pernambuco,PE,Saraiva
Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),Pública,Minas Gerais,MG,Minha Biblioteca
Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),Pública,Minas Gerais,MG,ABNT Coleção
Centro Universitário de Brusque (UNIFEBE),Privada,Santa Catarina,SC,Minha Biblioteca
Centro Universitário de Brusque (UNIFEBE),Privada,Santa Catarina,SC,EBSCO eBooks
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,Minha Biblioteca
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,BV Pearson
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,EBSCO eBooks
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,ABNT Coleção
Universidade Estadual Paulista (UNESP),Pública,São Paulo,SP,Target GEDWeb
Universidade Federal de Santa Maria (UFSM),Pública,Rio Grande do Sul,RS,Minha Biblioteca
Universidade Federal de Santa Maria (UFSM),Pública,Rio Grande do Sul,RS,Dot.Lib Lectio
Universidade Federal de Santa Maria (UFSM),Pública,Rio Grande do Sul,RS,Target GEDWeb
Universidade Federal Rural do Rio de Janeiro (UFRRJ),Pública,Rio de Janeiro,RJ,BD Cengage
Universidade Federal da Fronteira Sul (UFFS),Pública,Rio de Janeiro,RJ,Minha Biblioteca
Universidade do Vale do Sapucaí (Univás),Privada,Minas Gerais,MG,Minha Biblioteca
Centro Universitário Adventista de São Paulo (UNASP),Privada,São Paulo,SP,Minha Biblioteca
Centro Universitário Adventista de São Paulo (UNASP),Privada,São Paulo,SP,BV Pearson
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,BV Pearson
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,Saraiva
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,RT Online
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,Saraiva
Universidade Federal do Rio Grande (FURG),Pública,Rio Grande do Sul,RS,Target GEDWeb
Centro Univeritário de Anapolis (UniEvangélica),Privada,Goiás,GO,Minha Biblioteca
Centro Univeritário de Anapolis (UniEvangélica),Privada,Goiás,GO,Dot.Lib Lectio
Faculdade Ideal Trends,Privada,São Paulo,SP,Minha Biblioteca
Strong Business School,Privada,São Paulo,SP,BV Pearson
Instituto Federal do Norte de Minas Gerais (IFNMG),Pública,Minas Gerais,MG,Minha Biblioteca
Centro Universitário UNIFAFIBE - BEBEDOURO,Privada,São Paulo,SP,BV Pearson
Centro Universitário UNIFAFIBE - BEBEDOURO,Privada,São Paulo,SP,RT Online
Universidade Federal do Oeste do Pará (UFOPA),Pública,Pará,PA,Minha Biblioteca
Universidade de Sorocaba (UNISO),Privada,São Paulo,SP,Minha Biblioteca
Universidade de Sorocaba (UNISO),Privada,São Paulo,SP,BV Pearson
Universidade de Sorocaba (UNISO),Privada,São Paulo,SP,RT Online
Faculdade Cesusc,Privada,Santa Catarina,SC,Minha Biblioteca
Faculdade Cesusc,Privada,Santa Catarina,SC,BV Pearson
Faculdade Cesusc,Privada,Santa Catarina,SC,EBSCO eBooks
Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI),Privada,Rio Grande do Sul,RS,Minha Biblioteca
Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUI),Privada,Rio Grande do Sul,RS,BV Pearson
Universidade Federal de Lavras (UFLA),Pública,Minas Gerais,MG,Minha Biblioteca
Universidade Federal de Lavras (UFLA),Pública,Minas Gerais,MG,BV Pearson
Universidade CEUMA,Privada,Maranhão,MA,Minha Biblioteca
Universidade CEUMA,Privada,Maranhão,MA,EBSCO eBooks
Universidade CEUMA,Privada,Maranhão,MA,vLex
Universidade CEUMA,Privada,Maranhão,MA,Target GEDWeb
Universidade Federal do Pampa (UNIPAMPA),Pública,Rio Grande do Sul,RS,Minha Biblioteca
Escola de Enfermagem da USP,Pública,São Paulo,SP,Minha Biblioteca
Escola de Enfermagem da USP,Pública,São Paulo,SP,BV Pearson
Escola de Enfermagem da USP,Pública,São Paulo,SP,EBSCO eBooks
Escola de Enfermagem da USP,Pública,São Paulo,SP,Target GEDWeb
Escola de Enfermagem da USP,Pública,São Paulo,SP,PressReader
Universidade Federal de São João del Rei (UFSJ),Pública,Minas Gerais,MG,Minha Biblioteca
Universidade Federal de São João del Rei (UFSJ),Pública,Minas Gerais,MG,Target GEDWeb
Centro Universitário Celso Lisboa,Privada,Rio de Janeiro,RJ,BV Pearson
Toledo Prudente Centro Universitário,Privada,São Paulo,SP,Minha Biblioteca
Toledo Prudente Centro Universitário,Privada,São Paulo,SP,RT Online
Toledo Prudente Centro Universitário,Privada,São Paulo,SP,Target GEDWeb
Universidade de Fortaleza,Privada,Ceará,CE,Minha Biblioteca
Universidade de Fortaleza,Privada,Ceará,CE,EBSCO eBooks
Universidade de Fortaleza,Privada,Ceará,CE,Dot.Lib Lectio
Universidade de Fortaleza,Privada,Ceará,CE,vLex
Universidade de Fortaleza,Privada,Ceará,CE,Target GEDWeb
Universidade de Fortaleza,Privada,Ceará,CE,RT Online
Universidade de Fortaleza,Privada,Ceará,CE,Cambridge
Universidade de Fortaleza,Privada,Ceará,CE,Euromonitor
Universidade Federal de Mato Grosso (UFMT),Pública,Mato Grosso,MT,Minha Biblioteca
Universidade Federal de Mato Grosso (UFMT),Pública,Mato Grosso,MT,BV Pearson
Universidade Federal de São Carlos (UFSCar),Pública,São Paulo,SP,BV Pearson
Universidade Federal de São Carlos (UFSCar),Pública,São Paulo,SP,Target GEDWeb
Pontifícia Universidade Católica de São Paulo (PUC-SP),Privada,São Paulo,SP,Minha Biblioteca
Pontifícia Universidade Católica de São Paulo (PUC-SP),Privada,São Paulo,SP,Target GEDWeb
Pontifícia Universidade Católica de São Paulo (PUC-SP),Privada,São Paulo,SP,RT Online
Faculdade de Direito de Vitória,Privada,Espírito Santo,ES,Saraiva
Faculdade de Direito de Vitória,Privada,Espírito Santo,ES,RT Online
CISNE - Faculdade de Quixadá,Privada,Ceará,CE,BV Pearson
Faculdade de Direito de Sorocaba,Privada,São Paulo,SP,Minha Biblioteca
Faculdade de Direito de Sorocaba,Privada,São Paulo,SP,RT Online
Faculdade de Direito de Sorocaba,Privada,São Paulo,SP,ABNT Coleção
Escola da Advocacia-Geral da União (EAGU),Pública,Distrito Federal,DF,vLex
Escola da Advocacia-Geral da União (EAGU),Pública,Distrito Federal,DF,ProView
Escola da Advocacia-Geral da União (EAGU),Pública,Distrito Federal,DF,RT Online
Escola da Advocacia-Geral da União (EAGU),Pública,Distrito Federal,DF,Fórum
Escola da Advocacia-Geral da União (EAGU),Pública,Distrito Federal,DF,HeinOnline
Escola da Advocacia-Geral da União (EAGU),Pública,Distrito Federal,DF,Tirant LoBlach
Universidade de Taubaté,Pública,São Paulo,SP,Minha Biblioteca
Universidade de Taubaté,Pública,São Paulo,SP,BV Pearson
Universidade de Taubaté,Pública,São Paulo,SP,RT Online
Centro Universitário do Estado do Pará (CESUPA),Privada,Pará,PA,ABNT Coleção
Centro Universitário do Estado do Pará (CESUPA),Privada,Pará,PA,RT Online
Centro Universitário Social da Bahia (UNISBA),Privada,Bahia,BA,Minha Biblioteca
Centro Universitário Social da Bahia (UNISBA),Privada,Bahia,BA,BV Pearson
Universidade de Caxias do Sul (UCS),Privada,Rio Grande do Sul,RS,Minha Biblioteca
Universidade de Caxias do Sul (UCS),Privada,Rio Grande do Sul,RS,BV Pearson
Universidade de Caxias do Sul (UCS),Privada,Rio Grande do Sul,RS,RT Online
Universidade de Caxias do Sul (UCS),Privada,Rio Grande do Sul,RS,Target GEDWeb
Universidade de Caxias do Sul (UCS),Privada,Rio Grande do Sul,RS,UpToDate
Pontifícia Universidade Católica de Campinas (PUC-Campinas),Privada,São Paulo,SP,BV Pearson
Pontifícia Universidade Católica de Campinas (PUC-Campinas),Privada,São Paulo,SP,vLex
Pontifícia Universidade Católica de Campinas (PUC-Campinas),Privada,São Paulo,SP,RT Online
Pontifícia Universidade Católica de Campinas (PUC-Campinas),Privada,São Paulo,SP,Target GEDWeb
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,EBSCO
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,ABNT Coleção
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,PressReader
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,ProQuest Dissertations & Theses Global (PQDT)
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,The Economist Archive
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,ATLA Religion Database
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,OnePetro
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Privada,Rio de Janeiro,RJ,Springer (ebooks- Computer Science 2011 e 2012)
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,Minha Biblioteca
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,BV Pearson
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,Target GEDWeb
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,RT Online
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,Fórum
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,EBSCO eBooks
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,Proquest O'Reilly
Pontifícia Universidade Católica de Minas Gerais (PUC Minas),Privada,Minas Gerais,MG,Proquest Religion
Universidade Federal de Pernambuco (UFPE),Pública,Pernambuco,PE,EBSCO
Universidade Federal de Pernambuco (UFPE),Pública,Pernambuco,PE,Target GEDWeb
Universidade Federal de Pernambuco (UFPE),Pública,Pernambuco,PE,vLex
Universidade Federal de Pernambuco (UFPE),Pública,Pernambuco,PE,Dot.Lib Lectio
Universidade Federal de Pernambuco (UFPE),Pública,Pernambuco,PE,Springer
Universidade Federal de Pernambuco (UFPE),Pública,Pernambuco,PE,IEEE Xplore
Universidade Fumec,Privada,Minas Gerais,MG,Minha Biblioteca
Universidade Fumec,Privada,Minas Gerais,MG,BV Pearson
Universidade Fumec,Privada,Minas Gerais,MG,EBSCO eBooks
Universidade Fumec,Privada,Minas Gerais,MG,Target GEDWeb
Centro Universitário Espírito Santense (FAESA),Privada,Espírito Santo,ES,Minha Biblioteca
Centro Universitário Espírito Santense (FAESA),Privada,Espírito Santo,ES,Target GEDWeb
Faculdade IMED,Privada,Rio Grande do Sul,RS,Minha Biblioteca
Faculdade IMED,Privada,Rio Grande do Sul,RS,BV Pearson
Faculdade IMED,Privada,Rio Grande do Sul,RS,vLex
Faculdade IMED,Privada,Rio Grande do Sul,RS,RT Online
Faculdade IMED,Privada,Rio Grande do Sul,RS,DynaMed
Faculdade dos Carajás,Privada,Pará,PA,BV Pearson
Faculdade dos Carajás,Privada,Pará,PA,vLex
Universidade Federal de Minas Gerais (UFMG),Pública,Minas Gerais,MG,Minha Biblioteca
Universidade Federal de Minas Gerais (UFMG),Pública,Minas Gerais,MG,BV Pearson
Universidade Federal de Minas Gerais (UFMG),Pública,Minas Gerais,MG,Árvore de Livros
Universidade Federal de Minas Gerais (UFMG),Pública,Minas Gerais,MG,ABNT Coleção
Universidade Federal de Minas Gerais (UFMG),Pública,Minas Gerais,MG,ProQuest’s Arts E-book Subscription
Universidade do Estado de Mato Grosso (UNEMAT),Pública,Mato Grosso,MT,Minha Biblioteca
Centro Universitário UniFTC (UniFTC),Privada,Bahia,BA,BV Pearson
Centro Universitário UniFTC (UniFTC),Privada,Bahia,BA,Minha Biblioteca
Centro Universitário UniFTC (UniFTC),Privada,Bahia,BA,Fórum
Universidade Federal de São Paulo (UNIFESP),Pública,São Paulo,SP,BV Pearson
Universidade Federal de São Paulo (UNIFESP),Pública,São Paulo,SP,Minha Biblioteca
Universidade La Salle,Comunitária,Rio Grande do Sul,RS,BV Pearson
Universidade La Salle,Comunitária,Rio Grande do Sul,RS,Minha Biblioteca
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,BV Pearson
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,EBSCO eBooks
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,Minha Biblioteca
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,UpToDate
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,Target GEDWeb
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,IEEE Xplore
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,ABNT Coleção
Universidade Estadual Paulista (UNESP) - Faculdade de Odontologia,Pública,São Paulo,SP,BD Cengage
Centro Univeristário Fasipe (UNIFASIPE),Privada,Mato Grosso,MT,Target GEDWeb
Centro Univeristário Fasipe (UNIFASIPE),Privada,Mato Grosso,MT,Minha Biblioteca
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,ABNT Coleção
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,IEEE Xplore
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,EBSCO eBooks
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,Dot.Lib Lectio
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,African Newspapers
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,ProQuest Dissertations & Theses Global (PQDT)
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,Wiley online Library
Universidade Federal de Santa Catarina (UFSC),Pública,Santa Catarina,SC,Springer
Universidade Federal do Amazonas (UFAM),Pública,Amazonas,AM,Dot.Lib Lectio
Universidade Federal do Amazonas (UFAM),Pública,Amazonas,AM,Target GEDWeb
Universidade Federal do Amazonas (UFAM),Pública,Amazonas,AM,Springer
Universidade do Extremo Sul Catarinense (UNESC),Comunitária,Santa Catarina,SC,Minha Biblioteca
Universidade do Extremo Sul Catarinense (UNESC),Comunitária,Santa Catarina,SC,RT Online
Universidade do Extremo Sul Catarinense (UNESC),Comunitária,Santa Catarina,SC,UpToDate
Universidade Federal do Sul da Bahia (UFSB),Pública,Bahia,BA,Minha Biblioteca
Universidade do Vale do Itajaí (UNIVALI),Comunitária,Santa Catarina,SC,Biblioteca A
Universidade do Vale do Itajaí (UNIVALI),Comunitária,Santa Catarina,SC,EBSCO eBooks
Universidade do Vale do Itajaí (UNIVALI),Comunitária,Santa Catarina,SC,Saraiva
Universidade do Vale do Itajaí (UNIVALI),Comunitária,Santa Catarina,SC,vLex
Centro Universitário Barriga Verde,Privada,Santa Catarina,SC,EBSCO
Centro Universitário Barriga Verde,Privada,Santa Catarina,SC,Minha Biblioteca
Instituto Federal de Minas Gerais (IFMG),Pública,Minas Gerais,MG,BV Pearson
Instituto Federal de Minas Gerais (IFMG),Pública,Minas Gerais,MG,Target GEDWeb
Instituto Federal de Minas Gerais (IFMG),Pública,Minas Gerais,MG,Saraiva
Instituto Federal Baiano (IF Baiano),Pública,Bahia,BA,BV Pearson
Universidade Veiga de Almeida,Privada,Rio de Janeiro,RJ,ABNT Coleção
Universidade Veiga de Almeida,Privada,Rio de Janeiro,RJ,BV Pearson
Universidade Veiga de Almeida,Privada,Rio de Janeiro,RJ,Fórum
Universidade Veiga de Almeida,Privada,Rio de Janeiro,RJ,Minha Biblioteca
Universidade Veiga de Almeida,Privada,Rio de Janeiro,RJ,RT Online
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,Dot.Lib Lectio
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,EBSCO eBooks
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,HeinOnline
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,IEEE Xplore
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,Minha Biblioteca
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,PressReader
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,ProView
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,RT Online
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,Target GEDWeb
Universidade Federal do Rio Grande do Sul (UFRGS),Pública,Rio Grande do Sul,RS,Springer
Universidade Federal da Bahia (UFBA),Pública,Bahia,BA,Dot.Lib Lectio
Universidade Federal da Bahia (UFBA),Pública,Bahia,BA,EBSCO eBooks
Universidade Federal da Bahia (UFBA),Pública,Bahia,BA,vLex
Universidade Federal da Bahia (UFBA),Pública,Bahia,BA,Springer
Instituto Federal do Amazonas (IFAM),Pública,Amazonas,AM,Target GEDWeb
"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS)",Pública,Mato Grosso do Sul,MS,ABNT Coleção
"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS)",Pública,Mato Grosso do Sul,MS,BV Pearson
"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS)",Pública,Mato Grosso do Sul,MS,Target GEDWeb
Universidade Federal do ABC (UFABC),Pública,São Paulo,SP,EBSCO
Universidade Federal do ABC (UFABC),Pública,São Paulo,SP,Minha Biblioteca
Universidade Federal do ABC (UFABC),Pública,São Paulo,SP,PressReader
Universidade Federal do ABC (UFABC),Pública,São Paulo,SP,Target GEDWeb
Universidade Federal do ABC (UFABC),Pública,São Paulo,SP,Springer Nature
Universidade Federal do ABC (UFABC),Pública,São Paulo,SP,Wiley
Instituto Federal do Paraná (IFPR),Pública,Paraná,PR,ABNT Coleção
Instituto Federal do Paraná (IFPR),Pública,Paraná,PR,BV Pearson
Serviço Nacional de Aprendizagem Comercial do Distrito Federal (SENAC-DF),Privada,Distrito Federal,DF,BD Cengage
Serviço Nacional de Aprendizagem Comercial do Distrito Federal (SENAC-DF),Privada,Distrito Federal,DF,BD Senac
Universidade Federal de Rondônia (UNIR),Pública,Rondônia,RO,Target GEDWeb
Universidade Federal de Rondônia (UNIR),Pública,Rondônia,RO,BD Senac
Universidade Federal do Oeste da Bahia (UFOB),Pública,Bahia,BA,Minha Biblioteca
Universidade de São Paulo (USP),Pública,São Paulo,SP,BV Pearson
Universidade de São Paulo (USP),Pública,São Paulo,SP,EBSCO eBooks
Universidade de São Paulo (USP),Pública,São Paulo,SP,HeinOnline
Universidade de São Paulo (USP),Pública,São Paulo,SP,Minha Biblioteca
Universidade de São Paulo (USP),Pública,São Paulo,SP,PressReader
Universidade de São Paulo (USP),Pública,São Paulo,SP,Target GEDWeb
Universidade de São Paulo (USP),Pública,São Paulo,SP,UpToDate
Universidade de São Paulo (USP),Pública,São Paulo,SP,Economática
Universidade de São Paulo (USP),Pública,São Paulo,SP,Zoological Record
Universidade de São Paulo (USP),Pública,São Paulo,SP,Jstor
Universidade de São Paulo (USP),Pública,São Paulo,SP,Portal ISSN
Universidade de São Paulo (USP),Pública,São Paulo,SP,ScienceDirect Books
Universidade de São Paulo (USP),Pública,São Paulo,SP,PEP
Universidade de São Paulo (USP),Pública,São Paulo,SP,TLG
UNIESP Centro Universitário,Privada,Paraíba,PB,EBSCO
UNIESP Centro Universitário,Privada,Paraíba,PB,Minha Biblioteca
UNIESP Centro Universitário,Privada,Paraíba,PB,Target GEDWeb
Serviço Nacional de Aprendizagem Comercial (SENAC),Privada,Piauí,PI,BD Senac
Serviço Nacional de Aprendizagem Comercial do Maranhão (SENAC-MA),Privada,Maranhão,MA,BD Senac
Serviço Nacional de Aprendizagem Comercial do Ceará (SENAC-CE),Privada,Ceará,CE,BD Senac
Serviço Nacional de Aprendizagem Comercial do Ceará (SENAC-CE),Privada,Ceará,CE,PressReader
Centro Universitário Avantis (UNIAVAN),Privada,Santa Catarina,SC,BV Pearson
Centro Universitário Avantis (UNIAVAN),Privada,Santa Catarina,SC,EBSCO eBooks
Centro Universitário Avantis (UNIAVAN),Privada,Santa Catarina,SC,Minha Biblioteca
Centro Universitário Avantis (UNIAVAN),Privada,Santa Catarina,SC,Saraiva
Universidade Federal do Rio Grande do Norte (UFRN),Pública,Rio Grande do Norte,RN,ABNT Coleção
Universidade Federal do Rio Grande do Norte (UFRN),Pública,Rio Grande do Norte,RN,Dot.Lib Lectio
Universidade Federal do Rio Grande do Norte (UFRN),Pública,Rio Grande do Norte,RN,EBSCO eBooks
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,ABNT Coleção
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,BD Cengage
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Dot.Lib Lectio
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,EBSCO eBooks
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,IEEE Xplore
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Cambridge Core
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Ebrary (Proquest)
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Taylor and Francis
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Springer Link
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Elsevier
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,MIT Press
Universidade Federal do Rio de Janeiro (UFRJ),Pública,Rio de Janeiro,RJ,Wiley
Universidade Federal do Amapá (UNIFAP),Pública,Amapá,AP,Dot.Lib Lectio
Universidade Federal do Amapá (UNIFAP),Pública,Amapá,AP,ABNT Coleção
Universidade Federal do Amapá (UNIFAP),Pública,Amapá,AP,Minha Biblioteca
Universidade Católica de Santos,Comunitária,São Paulo,SP,ProView
Universidade Católica de Santos,Comunitária,São Paulo,SP,RT Online
Universidade Católica de Santos,Comunitária,São Paulo,SP,Saraiva
Universidade Católica de Santos,Comunitária,São Paulo,SP,Target GEDWeb
Universidade Católica de Santos,Comunitária,São Paulo,SP,Digitalia Hispânica
Instituto Federal Catarinense (IFC),Pública,Santa Catarina,SC,ABNT Coleção
Instituto Federal Catarinense (IFC),Pública,Santa Catarina,SC,BD Cengage
Instituto Federal Catarinense (IFC),Pública,Santa Catarina,SC,BV Pearson
Instituto Federal Catarinense (IFC),Pública,Santa Catarina,SC,Saraiva
Centro Universitário UniSATC,Filantrópica,Santa Catarina,SC,BV Pearson
Serviço Nacional de Aprendizagem Comercial do Paraná (SENAC-PR),Privada,Paraná,PR,BD Senac
Serviço Nacional de Aprendizagem Comercial do Paraná (SENAC-PR),Privada,Paraná,PR,EBSCO eBooks
Centro Universitário do Planalto de Araxá (UNIARAXÁ),Privada,Minas Gerais,MG,ABNT Coleção
Centro Universitário do Planalto de Araxá (UNIARAXÁ),Privada,Minas Gerais,MG,BV Pearson
Centro Universitário do Planalto de Araxá (UNIARAXÁ),Privada,Minas Gerais,MG,Minha Biblioteca
Centro Universitário do Planalto de Araxá (UNIARAXÁ),Privada,Minas Gerais,MG,RT Online
Centro Universitário do Planalto de Araxá (UNIARAXÁ),Privada,Minas Gerais,MG,Saraiva
Universidade Federal do Recôncavo da Bahia (UFRB),Pública,Bahia,BA,Target GEDWeb
